ID, Nazwa hotelu, Imie wlasciciela, Nazwisko Wlasciciela, Data powstania, Liczba gwiazdek, Liczba personelu, Nazwisko opiekuna, Imie opiekuna, Data urodzenia opiekuna, Plec opiekuna, Oddzial, Stanowisko, Kraj, Region, Miasto, Pensja, Waluta, Data zatrudnienia
10090,Sheraton,"Uniedrog",Nowak,2015-08-26,4,225,Jopek,"Metody",1993-01-11,"M",ODDZ_FRA_005,Opiekun,Francja,Owernia,CITY,8275.537528110708,USD,2005-07-31
10021,Sheraton,"Pius",Jopek,1956-11-25,2,203,Nowak,"Gaudencja",1979-10-09,"K",ODDZ_POL_009,Glowny opiekun,Polska,Pomorze,CITY,9898.967281145562,PLN,2017-06-13
10074,Plaza,"Wincentyna",Kiepski,2009-02-07,1,121,Kiepski,"Selma",1996-09-27,"K",ODDZ_HIS_007,Opiekun,Hiszpania,Barcelona,CITY,5379.568497131746,EUR,2009-11-11
10071,Mercurial,"Donata",Kiepski,1943-11-23,3,37,Kowalski,"Augusta",1986-06-30,"K",ODDZ_FRA_005,Glowny opiekun,Francja,Burgundia,CITY,1704.1548199383722,USD,2005-02-06
10050,Sheraton,"Sędzisława",Krawczyk,1998-11-11,1,173,Krawczyk,"Sędziwoj",1979-11-23,"M",ODDZ_HIS_004,Przewodnik,Hiszpania,Nawarra,CITY,2054.4801445344774,EUR,2015-11-29
10061,Plaza,"Renat",Jopek,1992-03-13,1,138,Kiepski,"Władysława",1988-04-04,"K",ODDZ_POL_008,Glowny opiekun,Polska,Bieszczady,CITY,7237.8561603886765,PLN,2001-03-05
10067,Sheraton,"Samuel",Kowalski,1975-07-07,1,212,Krawczyk,"Malwin",1974-05-18,"M",ODDZ_POL_004,Przewodnik,Polska,Mazury,CITY,8945.544532269803,USD,2004-09-13
10040,Sheraton,"Przybysław",Krawczyk,1967-11-25,5,199,Nowak,"Otto",1972-05-04,"M",ODDZ_POL_001,Przewodnik,Polska,Tatry,CITY,6096.228359797713,PLN,2008-05-14
10015,Plaza,"Miromir",Krawczyk,1993-04-02,1,192,Krawczyk,"Trzebisława",1987-02-07,"K",ODDZ_POL_009,Opiekun,Polska,Mazury,CITY,5150.771378736205,EUR,2008-11-01
10005,Mercurial,"Romuald",Jopek,1962-07-31,2,170,Nowak,"Wendelin",1988-11-21,"M",ODDZ_HIS_005,Opiekun,Hiszpania,Asturia,CITY,4411.853955606266,USD,2014-09-24
10013,Mercurial,"Wirgiliusz",Kowalski,1979-03-26,1,228,Kiepski,"Żytomir",1992-06-21,"M",ODDZ_HIS_003,Przewodnik,Hiszpania,Murcja,CITY,8825.527524969104,USD,2000-01-05
10075,Mercurial,"Ksaweryna",Nowak,1959-08-14,5,154,Nowak,"Innocenty",1994-05-09,"M",ODDZ_POL_001,Glowny opiekun,Polska,Mazury,CITY,3942.000018415946,EUR,2009-01-09
10024,Sheraton,"Dobrogost",Nowak,1988-10-25,5,152,Jopek,"Natanael",1987-03-23,"M",ODDZ_HIS_005,Przewodnik,Hiszpania,Nawarra,CITY,4905.276183401838,USD,2013-07-31
10000,Sheraton,"Abdiasz",Jopek,2009-11-22,3,118,Kowalski,"Juliusz",1997-10-24,"M",ODDZ_POL_006,Glowny opiekun,Polska,Pomorze,CITY,2639.5343782287837,PLN,2003-01-13
10032,Mercurial,"Kordelia",Kiepski,1949-07-13,4,71,Jopek,"Bartolomea",1970-11-14,"K",ODDZ_HIS_001,Przewodnik,Hiszpania,Madryt,CITY,7453.676485543702,USD,2001-12-05
10084,Mercurial,"Trzebisław",Nowak,1953-12-15,1,77,Krawczyk,"Lechosława",1989-08-20,"K",ODDZ_HIS_006,Glowny opiekun,Hiszpania,Asturia,CITY,9094.418611738405,PLN,2013-11-24
10017,Mercurial,"Angel",Jopek,1980-04-01,4,132,Nowak,"Genowefa",1973-06-09,"K",ODDZ_FRA_004,Przewodnik,Francja,Akwitania,CITY,5876.661075332809,PLN,2017-03-24
10042,Mercurial,"Jarogniew",Kowalski,1930-04-14,5,155,Krawczyk,"Manuela",1991-08-02,"K",ODDZ_POL_001,Glowny opiekun,Polska,Mazury,CITY,2445.615152601841,USD,2009-11-29
10045,Plaza,"Augustyn",Nowak,1946-12-22,1,204,Krawczyk,"Suliwoj",1987-10-20,"M",ODDZ_POL_009,Przewodnik,Polska,Mazury,CITY,7114.613160021164,USD,2008-01-18
10038,Plaza,"Gustawa",Kowalski,1937-06-08,2,54,Kowalski,"Strzeżysława",1980-09-28,"K",ODDZ_HIS_003,Glowny opiekun,Hiszpania,Kantabria,CITY,7022.054339698681,EUR,2013-12-04
10000,Sheraton,"Abdiasz",Jopek,2009-11-22,3,118,Nowak,"Przybywoj",1980-11-15,"M",ODDZ_POL_003,Przewodnik,Polska,Pomorze,CITY,3801.513679592201,EUR,2007-12-15
10075,Mercurial,"Ksaweryna",Nowak,1959-08-14,5,154,Kiepski,"Ryszarda",1974-07-16,"K",ODDZ_POL_002,Opiekun,Polska,Mazury,CITY,4103.985676331929,EUR,2005-10-11
10034,Mercurial,"Sewer",Kowalski,1941-11-27,4,193,Krawczyk,"Rościgniew",1976-01-03,"M",ODDZ_POL_005,Opiekun,Polska,Mazury,CITY,8347.726439208156,PLN,2009-01-26
10042,Mercurial,"Jarogniew",Kowalski,1930-04-14,5,155,Kiepski,"Irma",1995-05-25,"K",ODDZ_POL_002,Glowny opiekun,Polska,Mazury,CITY,5563.775293553218,USD,2001-08-11
10002,Plaza,"Marita",Kowalski,1937-02-16,3,76,Jopek,"Mariusz",1990-12-22,"M",ODDZ_FRA_003,Glowny opiekun,Francja,Akwitania,CITY,9517.123657259475,USD,2016-05-10
10027,Mercurial,"Emanuela",Krawczyk,1993-12-31,3,221,Kiepski,"Albaniusz",1985-11-26,"M",ODDZ_POL_005,Opiekun,Polska,Mazury,CITY,3924.4152967687455,USD,2016-11-29
10063,Plaza,"Hermenegild",Kiepski,1979-09-08,1,124,Jopek,"Luiza",1975-03-20,"K",ODDZ_FRA_006,Glowny opiekun,Francja,Owernia,CITY,5554.967112344194,EUR,2012-12-19
10017,Mercurial,"Angel",Jopek,1980-04-01,4,132,Jopek,"Sylwin",1975-03-18,"M",ODDZ_FRA_009,Glowny opiekun,Francja,Akwitania,CITY,5092.234099348592,EUR,2001-11-20
10041,Mercurial,"Hermenia",Kowalski,1989-12-22,5,104,Kiepski,"Iwa",1992-07-16,"K",ODDZ_POL_007,Przewodnik,Polska,Pomorze,CITY,9931.49974685297,USD,2003-05-13
10066,Sheraton,"Kazimiera",Kowalski,1974-10-16,1,152,Krawczyk,"Glikeria",1989-03-08,"K",ODDZ_FRA_006,Opiekun,Francja,Owernia,CITY,4274.494644945825,PLN,2002-09-23
10001,Sheraton,"Natasza",Kiepski,1947-04-08,1,79,Kiepski,"Sawa",1989-10-07,"K",ODDZ_POL_003,Opiekun,Polska,Pomorze,CITY,4871.090622124611,PLN,2012-12-08
10020,Sheraton,"Bogumiła",Kowalski,1978-09-14,4,105,Kiepski,"Dobrochna",1974-11-10,"K",ODDZ_POL_004,Przewodnik,Polska,Bieszczady,CITY,4418.591494852819,PLN,2015-01-10
10049,Sheraton,"Aureliusz",Jopek,1947-01-13,3,163,Krawczyk,"Sozant",1994-09-03,"M",ODDZ_POL_009,Glowny opiekun,Polska,Mazury,CITY,8786.594324883768,PLN,2016-12-20
10059,Mercurial,"Radociech",Kowalski,1967-05-21,4,82,Kowalski,"Luiza",1995-04-02,"K",ODDZ_POL_002,Glowny opiekun,Polska,Pomorze,CITY,7888.742597500052,EUR,2006-09-11
10063,Plaza,"Hermenegild",Kiepski,1979-09-08,1,124,Jopek,"Radzisław",1977-05-12,"M",ODDZ_FRA_005,Przewodnik,Francja,Owernia,CITY,6451.876521963001,EUR,2001-09-29
10099,Sheraton,"Bożywoj",Jopek,1967-08-25,2,186,Jopek,"Monika",1975-03-19,"K",ODDZ_FRA_002,Glowny opiekun,Francja,Owernia,CITY,7967.775613787246,PLN,2000-12-14
10064,Sheraton,"Sylwester",Jopek,1951-01-25,5,42,Kiepski,"Bean",1989-10-02,"M",ODDZ_HIS_001,Glowny opiekun,Hiszpania,Barcelona,CITY,8084.274071027238,PLN,2005-01-16
10034,Mercurial,"Sewer",Kowalski,1941-11-27,4,193,Kiepski,"Kamilla",1981-08-17,"K",ODDZ_POL_007,Glowny opiekun,Polska,Mazury,CITY,7587.644510189871,USD,2011-03-11
10054,Plaza,"Waleria",Krawczyk,1994-04-21,2,194,Kiepski,"Lutomir",1979-08-23,"M",ODDZ_HIS_003,Przewodnik,Hiszpania,Kantabria,CITY,2848.491084716626,USD,2017-03-01
10052,Plaza,"Augustyn",Krawczyk,1987-07-25,1,150,Nowak,"Rajnold",1972-08-22,"M",ODDZ_FRA_003,Opiekun,Francja,Owernia,CITY,3378.4051362775917,USD,2014-06-19
10064,Sheraton,"Sylwester",Jopek,1951-01-25,5,42,Nowak,"Rozalia",1971-03-28,"K",ODDZ_HIS_009,Przewodnik,Hiszpania,Barcelona,CITY,5042.841823110844,EUR,2012-10-27
10079,Mercurial,"Paweł",Jopek,1981-10-02,1,176,Kiepski,"Ludomiła",1974-12-31,"K",ODDZ_HIS_006,Przewodnik,Hiszpania,Nawarra,CITY,3499.287902566016,EUR,2001-03-05
10014,Plaza,"Renata",Kowalski,1936-10-21,3,178,Kiepski,"Cezaryna",1988-04-05,"K",ODDZ_FRA_003,Glowny opiekun,Francja,Owernia,CITY,4859.3063653581585,PLN,2004-04-24
10003,Mercurial,"Ruprecht",Krawczyk,1970-01-13,5,175,Nowak,"Bożebor",1977-06-03,"M",ODDZ_POL_004,Przewodnik,Polska,Tatry,CITY,4905.601163979804,USD,2009-02-17
10022,Plaza,"Bartosz",Nowak,1998-05-16,1,89,Nowak,"Namysław",1983-07-02,"M",ODDZ_HIS_005,Glowny opiekun,Hiszpania,Barcelona,CITY,9793.499769062355,USD,2006-04-04
10030,Plaza,"Placydia",Kiepski,1960-01-30,5,176,Nowak,"Alojzy",1998-06-22,"M",ODDZ_FRA_004,Opiekun,Francja,Burgundia,CITY,7521.831054890086,EUR,2005-12-22
10037,Sheraton,"Cieszymir",Nowak,1934-10-01,2,147,Kiepski,"Daniel",1977-11-05,"M",ODDZ_FRA_006,Opiekun,Francja,Burgundia,CITY,4987.524242903291,USD,2001-12-21
10041,Mercurial,"Hermenia",Kowalski,1989-12-22,5,104,Krawczyk,"Jerosława",1981-03-29,"K",ODDZ_POL_003,Przewodnik,Polska,Pomorze,CITY,3787.447076533281,PLN,2002-07-29
10098,Sheraton,"Dagna",Nowak,1993-07-23,5,137,Jopek,"Eustachiusz",1991-12-16,"M",ODDZ_FRA_007,Opiekun,Francja,Owernia,CITY,9523.964453351991,USD,2005-03-19
10051,Mercurial,"Olaf",Kowalski,2005-12-11,4,115,Kowalski,"Eudoksja",1976-01-27,"K",ODDZ_FRA_006,Przewodnik,Francja,Owernia,CITY,9459.89071560264,PLN,2016-05-11
10084,Mercurial,"Trzebisław",Nowak,1953-12-15,1,77,Kowalski,"Kalina",1978-03-03,"K",ODDZ_HIS_009,Opiekun,Hiszpania,Asturia,CITY,8205.815219257769,PLN,2016-01-25
10018,Mercurial,"Otniel",Kiepski,1938-05-28,1,35,Krawczyk,"Pius",1992-06-28,"M",ODDZ_FRA_009,Glowny opiekun,Francja,Burgundia,CITY,9118.700719167073,PLN,2005-04-14
10019,Plaza,"Leonarda",Nowak,1972-09-03,5,164,Kowalski,"Wyszesław",1998-10-16,"M",ODDZ_POL_007,Przewodnik,Polska,Bieszczady,CITY,4963.3950554539415,EUR,2010-03-11
10041,Mercurial,"Hermenia",Kowalski,1989-12-22,5,104,Jopek,"Teobald",1985-06-16,"M",ODDZ_POL_005,Opiekun,Polska,Pomorze,CITY,4292.040149266472,EUR,2010-11-09
10091,Sheraton,"Abel",Krawczyk,1991-01-08,4,129,Krawczyk,"Sydonia",1987-05-18,"K",ODDZ_POL_002,Opiekun,Polska,Tatry,CITY,2447.1052835303312,EUR,2009-09-28
10081,Mercurial,"Trzebowit",Kiepski,1988-08-25,2,36,Jopek,"Piotr",1986-12-14,"M",ODDZ_HIS_002,Glowny opiekun,Hiszpania,Kantabria,CITY,3838.269844212344,PLN,2015-11-14
10054,Plaza,"Waleria",Krawczyk,1994-04-21,2,194,Kowalski,"Budzisz",1988-12-24,"M",ODDZ_HIS_006,Opiekun,Hiszpania,Kantabria,CITY,6114.118244253613,EUR,2005-09-24
10041,Mercurial,"Hermenia",Kowalski,1989-12-22,5,104,Krawczyk,"Stojgniew",1971-12-26,"M",ODDZ_POL_002,Opiekun,Polska,Pomorze,CITY,9557.303615949899,USD,2000-10-11
10088,Sheraton,"JÃ³zefat",Kowalski,1971-05-23,3,227,Krawczyk,"Ozanna",1986-09-21,"K",ODDZ_HIS_003,Glowny opiekun,Hiszpania,Madryt,CITY,7477.715134657986,USD,2009-09-11
10024,Sheraton,"Dobrogost",Nowak,1988-10-25,5,152,Jopek,"Adaukt",1992-11-13,"M",ODDZ_HIS_004,Opiekun,Hiszpania,Nawarra,CITY,7458.720108202927,USD,2004-12-31
10023,Mercurial,"Rut",Jopek,1983-04-08,5,186,Kiepski,"Joel",1989-10-05,"M",ODDZ_FRA_002,Przewodnik,Francja,Owernia,CITY,6898.306133101895,USD,2017-07-25
10033,Plaza,"Herakles",Kiepski,1935-08-06,1,96,Nowak,"Mścibor",1996-05-05,"M",ODDZ_FRA_007,Opiekun,Francja,Owernia,CITY,9205.865719266643,PLN,2012-10-18
10004,Sheraton,"Patrycja",Jopek,1952-02-04,3,216,Kiepski,"Borysław",1978-08-26,"M",ODDZ_HIS_002,Glowny opiekun,Hiszpania,Madryt,CITY,6241.526707089277,USD,2010-01-01
10099,Sheraton,"Bożywoj",Jopek,1967-08-25,2,186,Krawczyk,"Namysław",1993-09-10,"M",ODDZ_FRA_009,Przewodnik,Francja,Owernia,CITY,3436.730817411281,EUR,2013-12-18
10021,Sheraton,"Pius",Jopek,1956-11-25,2,203,Jopek,"Lewin",1978-08-06,"M",ODDZ_POL_004,Glowny opiekun,Polska,Pomorze,CITY,3187.317941907292,USD,2016-05-06
10075,Mercurial,"Ksaweryna",Nowak,1959-08-14,5,154,Nowak,"Arleta",1977-12-19,"K",ODDZ_POL_001,Opiekun,Polska,Mazury,CITY,6693.093060335417,USD,2001-10-25
10070,Plaza,"Ludwina",Kiepski,1938-10-06,5,108,Kiepski,"Jozafat",1977-12-07,"M",ODDZ_POL_007,Przewodnik,Polska,Mazury,CITY,9869.65579514945,USD,2008-11-22
10084,Mercurial,"Trzebisław",Nowak,1953-12-15,1,77,Nowak,"Godzisław",1994-02-21,"M",ODDZ_HIS_008,Przewodnik,Hiszpania,Asturia,CITY,7859.560537010779,PLN,2015-06-17
10092,Sheraton,"Szczęsna",Kiepski,1998-10-20,4,114,Kowalski,"Pamela",1989-07-02,"K",ODDZ_POL_009,Glowny opiekun,Polska,Bieszczady,CITY,2956.433784825135,USD,2012-11-13
10097,Plaza,"Julita",Kiepski,1954-11-08,5,218,Kowalski,"Klementyna",1998-08-25,"K",ODDZ_POL_002,Przewodnik,Polska,Pomorze,CITY,3101.75184397281,EUR,2005-10-08
10001,Sheraton,"Natasza",Kiepski,1947-04-08,1,79,Kowalski,"Jan Chryzostom",1997-07-20,"M",ODDZ_POL_009,Opiekun,Polska,Pomorze,CITY,8150.516630053374,USD,2012-02-09
10078,Plaza,"Waleriana",Kiepski,1986-05-16,1,81,Jopek,"Bernadeta",1982-12-27,"K",ODDZ_POL_006,Przewodnik,Polska,Bieszczady,CITY,8454.7710640845,USD,2014-02-07
10010,Plaza,"Bożysława",Kiepski,1980-10-24,4,192,Krawczyk,"Batszeba",1989-03-24,"M",ODDZ_POL_009,Przewodnik,Polska,Tatry,CITY,2635.5835369039833,PLN,2003-11-06
10080,Plaza,"Irydion",Kowalski,1989-10-29,2,198,Kiepski,"Odo",1988-08-08,"M",ODDZ_HIS_009,Opiekun,Hiszpania,Barcelona,CITY,4162.787312454776,PLN,2016-11-08
10003,Mercurial,"Ruprecht",Krawczyk,1970-01-13,5,175,Kiepski,"Stefania",1977-01-11,"K",ODDZ_POL_003,Opiekun,Polska,Tatry,CITY,7570.724614311689,EUR,2003-10-11
10035,Sheraton,"Albert",Nowak,2014-04-13,4,216,Kowalski,"Ilza",1971-07-03,"K",ODDZ_POL_002,Przewodnik,Polska,Tatry,CITY,8026.829929927293,PLN,2008-07-07
10017,Mercurial,"Angel",Jopek,1980-04-01,4,132,Kiepski,"Minodora",1983-04-29,"K",ODDZ_FRA_007,Glowny opiekun,Francja,Akwitania,CITY,4321.098949428473,EUR,2002-01-15
10047,Sheraton,"Zelmira",Kowalski,1949-12-07,1,175,Krawczyk,"Alma",1991-10-22,"K",ODDZ_HIS_003,Glowny opiekun,Hiszpania,Barcelona,CITY,6204.930454294677,PLN,2008-03-12
10086,Sheraton,"Marietta",Krawczyk,1941-12-30,5,165,Jopek,"Czechoń",1996-01-21,"M",ODDZ_FRA_008,Glowny opiekun,Francja,Owernia,CITY,1605.9648017370057,PLN,2010-03-25
10083,Sheraton,"Dobrawa",Kiepski,1949-05-17,3,76,Nowak,"Domicjan",1977-07-07,"M",ODDZ_FRA_007,Przewodnik,Francja,Owernia,CITY,4303.936100659428,PLN,2007-05-01
10069,Mercurial,"Irena",Krawczyk,1933-12-17,4,158,Krawczyk,"Gracjana",1979-03-10,"K",ODDZ_HIS_006,Przewodnik,Hiszpania,Asturia,CITY,7582.13273704854,USD,2010-06-20
10091,Sheraton,"Abel",Krawczyk,1991-01-08,4,129,Kowalski,"Reinhold",1990-08-13,"M",ODDZ_POL_007,Opiekun,Polska,Tatry,CITY,8253.831972414322,PLN,2009-09-22
10068,Plaza,"Gallina",Krawczyk,1968-06-03,2,154,Nowak,"Sylwia",1974-10-06,"K",ODDZ_FRA_008,Opiekun,Francja,Owernia,CITY,9284.794535531006,EUR,2014-11-25
10003,Mercurial,"Ruprecht",Krawczyk,1970-01-13,5,175,Krawczyk,"Alan",1986-11-14,"M",ODDZ_POL_004,Przewodnik,Polska,Tatry,CITY,3398.514636312374,USD,2012-08-02
10088,Sheraton,"JÃ³zefat",Kowalski,1971-05-23,3,227,Jopek,"Władysława",1987-09-20,"K",ODDZ_HIS_009,Przewodnik,Hiszpania,Madryt,CITY,6398.892605948224,USD,2013-10-01
10002,Plaza,"Marita",Kowalski,1937-02-16,3,76,Kowalski,"Patryk",1981-03-15,"M",ODDZ_FRA_004,Glowny opiekun,Francja,Akwitania,CITY,8656.173930011482,EUR,2004-02-26
10048,Mercurial,"Zefiryna",Kowalski,1985-01-29,4,78,Kiepski,"Teofila",1979-08-28,"K",ODDZ_FRA_005,Glowny opiekun,Francja,Burgundia,CITY,2104.8021494575373,USD,2014-12-04
10057,Sheraton,"Idzi",Nowak,1983-04-21,1,130,Nowak,"Innocenty",1986-03-25,"M",ODDZ_POL_002,Przewodnik,Polska,Tatry,CITY,6794.562427989,PLN,2003-08-25
10095,Mercurial,"Arletta",Krawczyk,1976-08-28,3,203,Jopek,"Wincenty",1986-09-21,"M",ODDZ_POL_005,Glowny opiekun,Polska,Pomorze,CITY,7139.2944283922925,USD,2009-06-13
10021,Sheraton,"Pius",Jopek,1956-11-25,2,203,Kiepski,"Imisława",1986-10-29,"K",ODDZ_POL_002,Opiekun,Polska,Pomorze,CITY,3749.795125505044,EUR,2008-01-05
10064,Sheraton,"Sylwester",Jopek,1951-01-25,5,42,Kiepski,"Kasper",1997-02-01,"M",ODDZ_HIS_007,Opiekun,Hiszpania,Barcelona,CITY,4083.9584255746686,USD,2016-05-12
10089,Sheraton,"Ingrid",Krawczyk,1953-06-24,1,97,Jopek,"Gaudenty",1970-11-30,"M",ODDZ_POL_006,Opiekun,Polska,Pomorze,CITY,8149.612041215521,PLN,2000-02-17
10043,Plaza,"Benedykt",Kowalski,2000-02-22,5,216,Jopek,"Ksawery",1997-06-22,"M",ODDZ_POL_002,Przewodnik,Polska,Bieszczady,CITY,5135.608122827347,USD,2009-05-05
10067,Sheraton,"Samuel",Kowalski,1975-07-07,1,212,Jopek,"Urban",1976-05-21,"M",ODDZ_POL_001,Glowny opiekun,Polska,Mazury,CITY,2562.2353036605227,PLN,2007-09-11
10075,Mercurial,"Ksaweryna",Nowak,1959-08-14,5,154,Krawczyk,"Oda",1983-07-19,"K",ODDZ_POL_007,Opiekun,Polska,Mazury,CITY,4081.41033624265,USD,2004-08-29
10055,Plaza,"Grzymisław",Jopek,1991-05-12,4,72,Jopek,"Dionizy",1977-01-15,"M",ODDZ_FRA_005,Przewodnik,Francja,Burgundia,CITY,8200.577704959152,EUR,2008-05-19
10054,Plaza,"Waleria",Krawczyk,1994-04-21,2,194,Nowak,"Radomysł",1997-08-06,"M",ODDZ_HIS_001,Opiekun,Hiszpania,Kantabria,CITY,4893.462499968939,EUR,2002-04-09
10090,Sheraton,"Uniedrog",Nowak,2015-08-26,4,225,Krawczyk,"Wojsława",1971-09-12,"K",ODDZ_FRA_009,Opiekun,Francja,Owernia,CITY,4587.3194820977005,USD,2002-08-21
10062,Plaza,"Radomiła",Jopek,1966-03-09,5,79,Kowalski,"Tolimir",1984-09-02,"M",ODDZ_FRA_005,Glowny opiekun,Francja,Owernia,CITY,2557.826400641517,USD,2005-04-09
10021,Sheraton,"Pius",Jopek,1956-11-25,2,203,Kiepski,"Radomysł",1997-02-09,"M",ODDZ_POL_009,Przewodnik,Polska,Pomorze,CITY,5046.374147017055,PLN,2008-01-22
10050,Sheraton,"Sędzisława",Krawczyk,1998-11-11,1,173,Krawczyk,"Godzisława",1986-09-05,"K",ODDZ_HIS_001,Opiekun,Hiszpania,Nawarra,CITY,7130.165042802597,USD,2002-03-21
10023,Mercurial,"Rut",Jopek,1983-04-08,5,186,Kiepski,"Jerosława",1984-05-15,"K",ODDZ_FRA_003,Glowny opiekun,Francja,Owernia,CITY,2549.7197239166408,EUR,2006-06-15
10024,Sheraton,"Dobrogost",Nowak,1988-10-25,5,152,Kowalski,"Sara",1972-03-23,"K",ODDZ_HIS_005,Opiekun,Hiszpania,Nawarra,CITY,7854.27416694636,EUR,2016-05-05
10035,Sheraton,"Albert",Nowak,2014-04-13,4,216,Kiepski,"Sulirad",1990-05-05,"M",ODDZ_POL_004,Opiekun,Polska,Tatry,CITY,9118.430122268102,USD,2011-07-20
10003,Mercurial,"Ruprecht",Krawczyk,1970-01-13,5,175,Jopek,"Natan",1978-07-14,"M",ODDZ_POL_001,Opiekun,Polska,Tatry,CITY,7845.802958117971,PLN,2000-10-13
10092,Sheraton,"Szczęsna",Kiepski,1998-10-20,4,114,Krawczyk,"Lubomiła",1987-05-27,"K",ODDZ_POL_001,Opiekun,Polska,Bieszczady,CITY,3978.353575693524,USD,2006-07-28
10023,Mercurial,"Rut",Jopek,1983-04-08,5,186,Krawczyk,"Domosława",1971-12-28,"K",ODDZ_FRA_002,Glowny opiekun,Francja,Owernia,CITY,3571.009126337536,USD,2000-08-28
10087,Sheraton,"Ulryka",Nowak,2012-05-21,5,224,Kiepski,"Marcelin",1995-07-08,"M",ODDZ_POL_002,Opiekun,Polska,Tatry,CITY,8331.64326289218,EUR,2008-09-05
